
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"80","true","true","2000","2","19","158.14040356754128","3.136","90.00887569974088","1.1912937181449286"
"81","true","true","2000","1","8","158.08736504206956","3.2","79.40500920817377","1.0866107359888657"
"83","true","true","2000","1","13","174.8455437977319","3.256","100.22699483827886","1.1005949468118577"
"84","true","true","2000","1","15","148.8177034036571","3.184","89.26413556746414","1.122132221661764"
"85","true","true","2000","3","20","143.03664896088273","3.104","86.74422917711574","1.1323927114795682"
"86","true","true","2000","2","19","156.36123016951578","3.16","95.24937436456683","1.1258196478646443"
"82","true","true","2000","1","16","148.2136023995013","3.184","82.17546499108889","1.0209374383438223"
"87","true","true","2000","1","16","155.45453957605818","3.136","93.55838170159625","1.074299996243"
"88","true","true","2000","2","20","147.5872359814351","3.328","86.9792467893754","1.2338987090099356"
"89","true","true","2000","2","18","157.77313446292086","3.168","87.72937609847989","1.1972927963370712"
"91","true","true","2000","0","14","163.51063390130878","3.328","90.85753454190562","1.0625119890653616"
"92","true","true","2000","2","16","155.15093504197137","3.424","84.19359015420262","1.1737695428656494"
"93","true","true","2000","1","20","151.17129112390924","3.112","88.31272383077783","1.06959437569298"
"94","true","true","2000","0","16","149.0686520425358","3.192","87.09991547414329","0.9833636235209519"
"90","true","true","2000","3","21","154.6546927958591","3.088","89.26382115198392","1.1924528397804255"
"95","true","true","2000","1","19","164.43944962105783","3.224","92.85152339030104","1.1744536455143075"
"96","true","true","2000","2","17","150.6946029538442","3.16","93.09925796932808","1.1399992954271052"
"97","true","true","2000","4","21","155.50679452801407","3.04","89.78558378707635","1.1435167345029777"
"99","true","true","2000","4","16","156.64077832071007","3.16","95.50269239614113","1.1849118381791226"
"100","true","true","2000","1","24","150.62846198109","3.288","89.75599592212349","1.2276336331941207"
"101","true","true","2000","2","17","154.0079118980098","3.064","91.72980882061547","1.113942309942269"
"98","true","true","2000","1","19","156.15990300167485","3.12","97.37549690322741","1.1056626790478896"
"102","true","true","2000","2","19","151.65761772685954","2.984","87.01626963739548","1.1441066032842893"
"103","true","true","2000","1","16","153.47448197089662","3.352","95.75899609850288","1.24672100046965"
"104","true","true","2000","3","17","156.48215525442143","3.368","90.9151137653619","1.2225196181932918"
"106","true","true","2000","2","18","152.40776331699885","3.08","92.04082375257389","1.1200975287427357"
"107","true","true","2000","0","11","162.63978654654827","3.256","85.47420867677853","1.1435448303920883"
"108","true","true","2000","2","13","155.16317052917515","3.208","82.07028337846003","1.081394310424497"
"105","true","true","2000","1","21","146.77612147557383","3.096","85.06659960946165","1.2052362330721875"
"109","true","true","2000","2","14","151.42076303879645","3.272","88.14663490210663","1.194875268649628"
"110","true","true","2000","0","18","153.512512866531","3.176","82.49753962120963","1.0571158762896422"
"111","true","true","2000","1","15","164.58203322705242","3.128","92.22813877274041","1.171797095804106"
"113","true","true","2000","1","15","155.23898004771723","3.144","86.528851083059","1.1208430561976575"
"114","true","true","2000","1","18","151.42551617160262","3.088","89.19388249091881","1.0793125880163734"
"115","true","true","2000","1","24","156.3327829253087","3.184","96.69579544025206","1.2215205482509073"
"112","true","true","2000","1","17","148.98251901542673","3.096","89.42835211730383","1.1850745151363684"
"116","true","true","2000","1","28","159.34120034957124","3.208","95.52125122130607","1.0776741279739521"
"117","true","true","2000","1","13","156.97984525001434","3.2","93.27578766169034","1.1012953307911957"
"118","true","true","2000","0","13","153.34534089130972","3.144","82.98612122439158","1.1421391892894854"
"120","true","true","2000","0","11","164.61419359552886","2.912","100.99268484463008","1.0491227928789613"
"121","true","true","2000","2","20","154.85900283672888","3.352","93.08305384158665","1.2239641961322447"
"122","true","true","2000","2","13","154.17656169313125","3.2","85.67016974745313","1.1512172709003614"
"123","true","true","2000","1","15","158.47585932366314","3.152","95.4654903061434","1.0721445685650848"
"124","true","true","2000","2","20","159.4180852962778","3.208","97.27674920974403","1.1497930667670349"
"119","true","true","2000","3","16","140.57115505848532","3.064","81.14075499291498","1.106708278116417"
"125","true","true","2000","3","14","149.25004718930728","3.216","86.3242446355321","1.1091731425890936"
"126","true","true","2000","1","13","153.4024434057866","3.248","85.85034075275115","1.1730302638892145"
"127","true","true","2000","2","17","157.49524426285842","3.264","88.33506763090355","1.0950344294160004"
"129","true","true","2000","3","22","158.91554973821908","3.192","99.56123881410133","1.1385610590304593"
"130","true","true","2000","3","20","151.23385411537998","3.104","83.37549557537578","1.092684693476316"
"131","true","true","2000","3","17","162.88780344323143","3.176","93.84919941814812","1.1689696145919957"
"132","true","true","2000","2","16","153.0593783091463","3.104","91.23532613187605","1.0590895536879423"
"128","true","true","2000","1","20","147.38547392983432","3.264","82.33738679369871","1.1346602201809344"
"134","true","true","2000","3","17","145.91677412356182","3.104","88.03420469809646","1.1673193813830944"
"133","true","true","2000","1","17","153.38585298514698","3.128","89.02800546872483","1.1683647997183413"
"135","true","true","2000","2","14","153.74124448121097","3.168","86.76031288867902","1.2303785292751204"
"137","true","true","2000","2","14","143.19839715668417","3.304","80.5603366702797","1.1457902693623565"
"138","true","true","2000","2","18","158.50551635509208","3.152","87.213415018872","1.1446119631494063"
"139","true","true","2000","2","9","157.78729364689548","3.096","80.78334227411683","1.1116325416388813"
"136","true","true","2000","1","17","152.80218069534487","3.248","84.69394007521898","1.2652666115857059"
"140","true","true","2000","0","13","153.82689673134195","3.24","87.19506885276711","1.2050762778103983"
"141","true","true","2000","0","12","163.70691389870697","3.064","89.39011864240865","1.050866920756649"
"142","true","true","2000","0","18","153.88462581189978","3.072","93.71117715228291","1.1277870430439558"
"145","true","true","2000","3","16","144.838517278018","3.24","89.64816084128434","1.0969105940803114"
"144","true","true","2000","1","19","170.74671725073884","3.184","95.84425624725345","1.2378501897925616"
"146","true","true","2000","1","18","145.36926593529438","3.128","91.62183717258087","1.044980351845415"
"143","true","true","2000","0","17","153.45483258260418","3.168","86.47039132333671","1.124648985846457"
"148","true","true","2000","2","19","156.21224804876115","3.016","98.6865630427416","1.0938601923838012"
"147","true","true","2000","2","20","149.05345782095466","3.08","89.41344334455013","1.1588666392429297"
"149","true","true","2000","3","26","153.98170760153099","3.096","92.6880826667545","1.0860488055479494"
"151","true","true","2000","0","17","151.49534233494234","3.16","76.3568139217576","1.118662425618184"
"152","true","true","2000","1","18","153.5284739842716","3.088","89.36400397040163","1.0867290001093712"
"153","true","true","2000","0","14","158.79823736966065","3.208","95.84302314170483","1.0924788511273986"
"150","true","true","2000","0","9","147.3996543847268","3.32","83.70666508338157","1.2521467509616329"
"154","true","true","2000","0","19","154.64983998047347","3.096","93.94398338045406","1.1152394523798808"
"155","true","true","2000","1","17","162.85386808360565","3.248","91.13015728299979","1.1169091027362525"
"156","true","true","2000","3","21","156.40293700243555","3.112","89.81138782083234","1.166576014837256"
"158","true","true","2000","2","17","160.69768852018177","3.2","92.7700926983081","1.1300922235529884"
"159","true","true","2000","1","24","156.3911664850186","3.16","92.96089393307398","1.0858712934153167"
"160","true","true","2000","0","15","161.77804972357498","3.24","88.27210668784585","1.0596657804539404"
"161","true","true","2000","3","17","160.21879481801713","3.128","95.20404059273136","1.0602416940486694"
"162","true","true","2000","2","13","150.99877595092806","3.112","92.26355718218664","1.0733425627580937"
"163","true","true","2000","1","14","154.18803849539907","3.192","81.78880169833005","1.1801300044102072"
"157","true","true","2000","2","12","160.12311164185988","3.12","92.64445199898431","1.1165063122891539"
"164","true","true","2000","1","17","150.75835533077108","3.176","88.10309542568459","1.07966973977599"
"165","true","true","2000","0","21","157.29222427746245","3.224","95.95899271023747","1.1219890542028483"
"166","true","true","2000","2","15","147.96339845126613","3.256","88.8199402984418","1.2476741413735455"
"169","true","true","2000","2","15","154.65650783446264","3.056","92.92076159085292","1.0851609545080194"
"168","true","true","2000","0","15","155.40917845154115","3.08","84.02357339531888","1.1414075718076873"
"170","true","true","2000","1","16","157.09200130684073","3.064","88.16974042376636","1.1459304632070935"
"167","true","true","2000","3","21","152.2198225999033","3.248","88.57336525586854","1.2715989365447293"
"171","true","true","2000","1","21","172.95784551474375","3.096","97.60287235264786","1.044580582998511"
"172","true","true","2000","0","13","143.76299635245104","3.2","82.6463453552902","1.041315201750934"
